Country,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,39703,1473,33064,194.192,38928341
Albania,15231,416,9406,1255.469,2877800
Algeria,52940,1795,37170,155.711,43851043
Andorra,2696,55,1814,1.81,77265
Angola,6246,218,2716,55.559,32866268
Antigua and Barbuda,111,3,97,1.53,97928
Argentina,883882,23581,709464,2866.127,45195777
Armenia,55736,1016,45771,3103.576,2963234
Australia,27263,898,24987,556.535,25499881
Austria,54423,852,42829,2317.62,9006400
Azerbaijan,41752,608,39235,955.3,10139175
Bahamas,5023,106,2815,2017.622,393248
Bahrain,75287,273,70808,1037.406,1701583
Bangladesh,377073,5500,291365,173.197,164689383
Barbados,206,7,183,6.1,287371
Belarus,82471,885,76543,743.148,9449321
Belgium,156931,10175,20202,2805.428,11589616
Belize,2427,35,1487,1699.868,397621
Benin,2411,41,1973,12.541,12123198
Bhutan,306,0,287,27.01,771612
Bolivia,138463,8292,100786,1839.153,11673029
Bosnia and Herzegovina,30345,927,23370,4919.071,3280815
Botswana,3219,18,834,1076.331,2351625
Brazil,5055888,149639,4502854,3195.19,212559409
Brunei,146,3,143,505.195,437479
Bulgaria,24319,891,15818,5467.139,6948445
Burkina Faso,2271,61,1542,17.511,20903278
Burma,26064,598,7050,1.2,54409800
Burundi,517,1,472,3.028,11890781
Cabo Verde,6913,74,5970,1.76,548800
Cambodia,283,0,277,184.218,16718971
Cameroon,21203,423,20117,71.143,26545864
Canada,182767,9661,153857,1169.099,37742157
Central African Republic,4854,62,1924,20.707,4829764
Chad,1291,92,1103,11.234,16425859
Chile,479595,13272,452054,3116.423,19116209
China,90778,4739,85658,3.665,1439323774
Colombia,902747,27660,783131,2750.727,50882884
Comoros,495,7,475,195.953,869595
Congo (Kinshasa),10841,276,10242,66.143,5518092
Costa Rica,87439,1076,52669,1725.47,5094114
Cote d'Ivoire,20128,120,19752,29.915,25070000
Croatia,19932,317,16953,4135.823,4105268
Cuba,5948,123,5440,757.793,11326616
Cyprus,1986,25,1444,1309.142,875899
Czechia,114005,948,54909,3891.825,10708982
Denmark,32575,667,26462,1190.248,5792203
Djibouti,5423,61,5355,170.955,988002
Dominica,32,0,24,939.071,71991
Dominican Republic,118014,2167,93627,394.32,10847904
Ecuador,146828,12188,120511,2015.762,17643060
Egypt,104387,6040,97643,226.94,102334403
El Salvador,29951,887,24995,669.447,6486201
Equatorial Guinea,5063,83,4894,111.963,1402985
Eritrea,414,0,372,28.451,3546427
Estonia,3846,68,2946,1999.697,1326539
Eswatini,5660,113,5282,1192.682,1160164
Ethiopia,83429,1277,37683,62.952,114963583
Fiji,32,2,28,949.59,896444
Finland,11849,346,8500,1041.909,5540718
France,732434,32601,103232,2292.086,65273512
Gabon,8835,54,8189,130.703,2225728
Gambia,3628,117,2540,140.535,2416664
Georgia,11271,78,6119,4494.17,3989175
Germany,323463,9620,274934,1777.983,83783945
Ghana,47005,306,46398,44.437,31072945
Greece,22078,436,1347,3136.032,10423056
Grenada,24,0,24,1893.909,112519
Guatemala,97544,3365,86046,1115.939,17915567
Guinea,10996,69,10304,33.181,13132792
Guinea-Bissau,2385,40,1728,84.922,1874000
Guyana,3405,102,2304,1589.675,786559
Haiti,8860,230,7104,74.339,11402533
Holy See,12,0,12,0.61,809
Honduras,83146,2504,31931,1069.141,9904608
Hungary,36596,933,9683,4878.274,9660350
Iceland,3460,10,2466,575.155,341250
India,7053806,108334,6077976,375.223,1380004385
Indonesia,328952,11765,251481,576.275,273523621
Iran,496253,28293,403950,1639.54,83992953
Iraq,400124,9790,332330,582.263,40222503
Ireland,41714,1824,23364,1578.253,4937796
Israel,289875,1941,225725,1253.686,8655541
Italy,349494,36140,238525,2974.393,60461828
Jamaica,7559,138,3142,1161.017,2961161
Japan,88962,1626,80798,341.491,126476458
Jordan,23998,181,6045,1266.025,10203140
Kazakhstan,108757,1746,103980,992.006,18776707
Kenya,41158,760,31876,107.045,53771300
"Korea, South",24606,432,22693,100.874,51640000
Kosovo,16130,645,14282,1795.058,1932774
Kuwait,110568,655,102722,603.043,4270563
Kyrgyzstan,48924,1082,44227,458.198,6524191
Laos,23,0,22,101.952,7275556
Latvia,2596,40,1322,3178.899,1886202
Lebanon,52558,455,22719,1903.398,6825442
Lesotho,1800,42,926,308.575,2142252
Liberia,1363,82,1245,56.61,5057677
Libya,41686,623,23791,955.714,6871287
Liechtenstein,142,1,117,2202.925,38137
Lithuania,5963,103,2751,3335.186,2722291
Luxembourg,9119,128,7900,1756.551,625976
Madagascar,16702,237,16012,48.763,27691019
Malawi,5821,180,4644,134.693,19129955
Malaysia,15096,155,10780,1080.513,32365998
Maldives,10859,34,9683,590.652,540542
Mali,3273,132,2525,33.737,20250834
Malta,3681,41,2937,1522.55,441539
Mauritania,7550,163,7266,215.169,4649660
Mauritius,395,10,358,787.58,1271767
Mexico,814328,83642,689377,2602.389,128932753
Moldova,61762,1458,43982,3848.759,4033963
Monaco,233,2,209,1717.276,39244
Mongolia,315,0,310,635.943,3278292
Montenegro,13641,198,9429,4424.56,628062
Morocco,149841,2572,124854,438.983,36910558
Mozambique,9844,70,7203,69.239,31255435
Namibia,11891,128,9807,1611.366,2540916
Nepal,105684,614,74252,399.934,29136808
Netherlands,173894,6624,4761,1297.017,17134873
New Zealand,1871,25,1801,380.137,4822233
Nicaragua,5264,153,4225,35.618,6624554
Niger,1201,69,1123,12.355,24206636
Nigeria,60103,1115,51711,14.78,206139587
North Macedonia,20555,785,16099,4519.5,2083380
Norway,15466,275,11863,741.067,5421242
Oman,104129,1009,91731,1023.787,5106622
Pakistan,318932,6570,303458,132.233,220892331
Panama,119666,2482,95552,1948.858,4314768
Papua New Guinea,549,7,532,66.737,8947027
Paraguay,48978,1065,31351,2913.274,7132530
Peru,846088,33223,733000,6409.105,32971846
Philippines,336926,6238,276094,546.96,109581085
Poland,121638,2972,78982,3060.792,37846605
Portugal,85574,2067,52803,2420.675,10196707
Qatar,127778,219,124767,253.698,2881060
Romania,152403,5358,116628,3458.561,19237682
Russia,1278245,22331,1011911,2601.343,145934460
Rwanda,4892,30,3566,108.9,12952209
Saint Kitts and Nevis,19,0,18,966.265,53192
Saint Lucia,29,0,27,2176.43,183629
Saint Vincent and the Grenadines,64,0,64,1102.251,110947
San Marino,741,42,682,3496.711,33938
Sao Tome and Principe,922,15,890,340.644,219161
Saudi Arabia,338944,5018,324737,259.107,34813867
Senegal,15244,314,13198,116.61,16743930
Serbia,34685,762,0,2446.174,6804596
Seychelles,148,0,144,1587.302,98340
Sierra Leone,2300,72,1725,14.963,7976985
Singapore,57866,27,57698,293.751,5850343
Slovakia,18797,61,5553,3714.648,5459643
Slovenia,8252,167,5024,3204.665,2078932
Somalia,3847,99,3079,79.751,15893219
South Africa,690896,17673,622153,1719.568,59308690
South Sudan,2761,54,1290,12.839,11193729
Spain,861112,32929,150376,2382.339,46754783
Sri Lanka,4628,13,3306,768.23,21413250
Sudan,13670,836,6764,108.658,43849269
Suriname,5035,107,4830,2257.808,586634
Sweden,98451,5894,0,1911.323,10099270
Switzerland,60368,2088,48400,1609.291,8654618
Syria,4673,221,1271,148.328,17500657
Taiwan,527,7,488,429.8,23816775
Tajikistan,10180,79,9006,12.82,9537642
Tanzania,509,21,183,13.289,56320000
Thailand,3636,59,3451,454.448,69799978
Timor-Leste,28,0,28,104.471,1268000
Togo,1935,49,1444,32.852,8278737
Trinidad and Tobago,5043,90,3221,2731.927,1399491
Tunisia,31259,456,5032,2384.256,11818618
Turkey,334031,8778,293145,1189.496,84339067
Uganda,9701,93,6022,79.121,45741000
Ukraine,263105,5010,116861,2680.478,43733759
United Arab Emirates,105133,443,95973,250.076,9890400
United Kingdom,593565,42850,2495,3057.592,67886004
Uruguay,2268,50,1930,2175.842,3473727
United States of America,7717932,214370,3062983,3116.693,331002647
Uzbekistan,60776,502,57704,48.032,33469199
Venezuela,82453,691,73919,205.923,28435943
Vietnam,1107,35,1024,442.463,97338583
West Bank and Gaza,43945,378,37240,2.13,4430000
Western Sahara,10,1,8,0.59,597330
Yemen,2051,595,1329,65.339,29825968
Zambia,15415,337,14541,206.284,18383956
Zimbabwe,8010,230,6492,349.892,14862927
